error,k1,k2,k3,ks1,ks2,mean_score,phi1,phi2,rejected_max_error,repeat,result_type,score,score_std,trial,worst_camera_error_m,worst_camera_heading_rmse_deg,worst_trajectory_closure_m
Preflight failed after retries: /odom_camera rate too low (0.0 Hz); /odometry/filtered rate too low (0.0 Hz); /odom_raw rate too low (0.0 Hz); camera messages have invalid/zero timestamps,0.2205844943,3.9097295565,5.2459918836,0.03683289,0.1159106176,,1.0,1.5,,1,run,50.0,,1,,,
"failed to shutdown: rcl_shutdown already called on the given context, at ./src/rcl/init.c:241",0.2205844943,3.9097295565,5.2459918836,0.03683289,0.1159106176,,1.0,1.5,,2,run,50.0,,1,,,
,0.2205844943,3.9097295565,5.2459918836,0.03683289,0.1159106176,50.0,1.0,1.5,True,all,candidate,50.0,0.0,1,nan,nan,nan
"failed to create timer: the given context is not valid, either rcl_init() was not called or rcl_shutdown() was called., at ./src/rcl/guard_condition.c:67",0.5745401188473624,3.8521429192297485,4.793972738151323,0.06290944768329998,0.11010419409954823,,1.0,1.5,,1,run,50.0,,2,,,
"failed to create timer: the given context is not valid, either rcl_init() was not called or rcl_shutdown() was called., at ./src/rcl/guard_condition.c:67",0.5745401188473624,3.8521429192297485,4.793972738151323,0.06290944768329998,0.11010419409954823,,1.0,1.5,,2,run,50.0,,2,,,
,0.5745401188473624,3.8521429192297485,4.793972738151323,0.06290944768329998,0.11010419409954823,50.0,1.0,1.5,True,all,candidate,50.0,0.0,2,nan,nan,nan
"failed to create timer: the given context is not valid, either rcl_init() was not called or rcl_shutdown() was called., at ./src/rcl/guard_condition.c:67",0.35599452033620266,1.1742508365045983,5.3977926559872085,0.0630752632926666,0.23431633000411026,,1.0,1.5,,1,run,50.0,,3,,,
"failed to create timer: the given context is not valid, either rcl_init() was not called or rcl_shutdown() was called., at ./src/rcl/guard_condition.c:67",0.35599452033620266,1.1742508365045983,5.3977926559872085,0.0630752632926666,0.23431633000411026,,1.0,1.5,,2,run,50.0,,3,,,
,0.35599452033620266,1.1742508365045983,5.3977926559872085,0.0630752632926666,0.23431633000411026,50.0,1.0,1.5,True,all,candidate,50.0,0.0,3,nan,nan,nan
"failed to create timer: the given context is not valid, either rcl_init() was not called or rcl_shutdown() was called., at ./src/rcl/guard_condition.c:67",0.22058449429580246,3.909729556485983,5.2459918836018975,0.03683288997078364,0.11591061762159766,,1.0,1.5,,1,run,50.0,,4,,,
"failed to create timer: the given context is not valid, either rcl_init() was not called or rcl_shutdown() was called., at ./src/rcl/guard_condition.c:67",0.22058449429580246,3.909729556485983,5.2459918836018975,0.03683288997078364,0.11591061762159766,,1.0,1.5,,2,run,50.0,,4,,,
,0.22058449429580246,3.909729556485983,5.2459918836018975,0.03683288997078364,0.11591061762159766,50.0,1.0,1.5,True,all,candidate,50.0,0.0,4,nan,nan,nan
"failed to create timer: the given context is not valid, either rcl_init() was not called or rcl_shutdown() was called., at ./src/rcl/guard_condition.c:67",0.38340450985343383,1.9127267288786132,3.86140394234507,0.051656288758342814,0.14052655654455945,,1.0,1.5,,1,run,50.0,,5,,,
"failed to create timer: the given context is not valid, either rcl_init() was not called or rcl_shutdown() was called., at ./src/rcl/guard_condition.c:67",0.38340450985343383,1.9127267288786132,3.86140394234507,0.051656288758342814,0.14052655654455945,,1.0,1.5,,2,run,50.0,,5,,,
,0.38340450985343383,1.9127267288786132,3.86140394234507,0.051656288758342814,0.14052655654455945,50.0,1.0,1.5,True,all,candidate,50.0,0.0,5,nan,nan,nan
"failed to create timer: the given context is not valid, either rcl_init() was not called or rcl_shutdown() was called., at ./src/rcl/guard_condition.c:67",0.8118528947223795,1.4184815819561254,2.8146509184084816,0.047229424422324195,0.1776157464488331,,1.0,1.5,,1,run,50.0,,6,,,
"failed to create timer: the given context is not valid, either rcl_init() was not called or rcl_shutdown() was called., at ./src/rcl/guard_condition.c:67",0.8118528947223795,1.4184815819561254,2.8146509184084816,0.047229424422324195,0.1776157464488331,,1.0,1.5,,2,run,50.0,,6,,,
,0.8118528947223795,1.4184815819561254,2.8146509184084816,0.047229424422324195,0.1776157464488331,50.0,1.0,1.5,True,all,candidate,50.0,0.0,6,nan,nan,nan
"failed to create timer: the given context is not valid, either rcl_init() was not called or rcl_shutdown() was called., at ./src/rcl/guard_condition.c:67",0.9851759613930136,1.5990213464750793,3.814054972861252,0.06248798339818787,0.0854513428619995,,1.0,1.5,,1,run,50.0,,7,,,
"failed to create timer: the given context is not valid, either rcl_init() was not called or rcl_shutdown() was called., at ./src/rcl/guard_condition.c:67",0.9851759613930136,1.5990213464750793,3.814054972861252,0.06248798339818787,0.0854513428619995,,1.0,1.5,,2,run,50.0,,7,,,
,0.9851759613930136,1.5990213464750793,3.814054972861252,0.06248798339818787,0.0854513428619995,50.0,1.0,1.5,True,all,candidate,50.0,0.0,7,nan,nan,nan
"failed to create timer: the given context is not valid, either rcl_init() was not called or rcl_shutdown() was called., at ./src/rcl/guard_condition.c:67",0.8075448519014383,1.5115723710618747,1.7927321684337578,0.08654977376459999,0.2922672074417759,,1.0,1.5,,1,run,50.0,,8,,,
"failed to create timer: the given context is not valid, either rcl_init() was not called or rcl_shutdown() was called., at ./src/rcl/guard_condition.c:67",0.8075448519014383,1.5115723710618747,1.7927321684337578,0.08654977376459999,0.2922672074417759,,1.0,1.5,,2,run,50.0,,8,,,
,0.8075448519014383,1.5115723710618747,1.7927321684337578,0.08654977376459999,0.2922672074417759,50.0,1.0,1.5,True,all,candidate,50.0,0.0,8,nan,nan,nan
