file,n_active,active_duration_s,rmse_ex_m,mean_ex_m,rmse_ey_m,mean_ey_m,rmse_etheta_rad,rmse_position_m,max_position_m,camera_aligned_rmse_position_m,camera_aligned_max_position_m,camera_aligned_rmse_heading_rad,convergence_time_s,convergence_penalty_s,cmd_v_delta_std,cmd_w_delta_std,command_saturation_fraction,trajectory_closure_error_m,score,controller,run_id,k1,k2,k3,ks1,ks2,phi1,phi2
/home/hoang/Paper1/paper_logs/optuna_tuning/square/20260717_135806_square_BSMC_fusion_optuna_t002_r01.csv,2008,80.28011202812195,0.017848890315423638,-0.0004630939342050356,0.03911934170358984,0.016967271616524997,0.45896549614799387,0.04314016644895444,0.10530339593313014,0.03904755437105257,0.0852890758585117,0.42409410013495674,2.0002384185791016,2.0002384185791016,0.00382756056210842,0.06962016455848226,0.18725099601593626,0.1428534311050448,0.13033821222816747,BSMC,optuna_t002_r01,0.7494481426168349,11.655000144869414,7.391963650868431,0.17066797483876656,0.20371537836501016,0.21251358879335708,0.15164632129434907
/home/hoang/Paper1/paper_logs/optuna_tuning/square/20260717_135426_square_BSMC_fusion_optuna_t001_r01.csv,2013,80.47977828979492,0.020494701354762345,2.3790097998831266e-05,0.046093769402547176,0.03054204738959193,0.3664007696757965,0.04821919913614134,0.13626973558627864,0.04281794734816311,0.11412965537688033,0.33103694600269534,21.679657220840454,21.679657220840454,0.002818793717391581,0.057393706955143904,0.16294088425235967,0.16353931990376266,0.15438834157077658,BSMC,optuna_t001_r01,0.8,8.8,6.0,0.15,0.2,0.5,0.8
/home/hoang/Paper1/paper_logs/optuna_tuning/square/20260717_135956_square_BSMC_fusion_optuna_t002_r02.csv,1994,80.43930315971375,0.022339337840585134,0.0007655104185982781,0.0481031019756039,0.019491124048583677,0.47179507913960966,0.05081841344670112,0.19025396007323706,0.046347039062270126,0.16901447113706602,0.425749540929151,12.839556217193604,12.839556217193604,0.003921070544727718,0.06478405135526302,0.23019057171514543,0.1621170615724569,0.1595116882776182,BSMC,optuna_t002_r02,0.7494481426168349,11.655000144869414,7.391963650868431,0.17066797483876656,0.20371537836501016,0.21251358879335708,0.15164632129434907
/home/hoang/Paper1/paper_logs/optuna_tuning/square/20260717_134814_square_BSMC_fusion_optuna_t001_r01.csv,2062,82.43970942497253,0.021284185132042527,-0.007705814833591892,0.044929839478631585,0.03373804969851202,0.3340778898878962,0.051549384881868617,0.12069724844270278,0.04763879681757424,0.1111980791883009,0.31433161965427925,nan,82.43970942497253,0.0027276309153526496,0.05621019290310889,0.15227934044616878,0.36459029765601436,0.27734360847700373,BSMC,optuna_t001_r01,0.8,8.8,6.0,0.15,0.2,0.5,0.8
/home/hoang/Paper1/paper_logs/optuna_tuning/square/20260717_135006_square_BSMC_fusion_optuna_t001_r02.csv,2057,82.2400381565094,0.02175310126049638,-0.0062384734812947025,0.04967205660395873,0.03512947003011836,0.34836633586270943,0.056017856826329655,0.13876112291947826,0.05219771037118971,0.12058559218684564,0.3232836538050627,nan,82.2400381565094,0.002826417940987723,0.058060636424189044,0.15264948954788526,0.34533948753027877,0.28335897833204554,BSMC,optuna_t001_r02,0.8,8.8,6.0,0.15,0.2,0.5,0.8
/home/hoang/Paper1/paper_logs/optuna_tuning/square/20260717_135616_square_BSMC_fusion_optuna_t001_r02.csv,2006,80.4392466545105,0.02181447556835086,-0.0006891931532463439,0.05250823296015716,0.035434721006739445,0.39330829289167624,0.05457806901401705,0.14342968048540156,0.04883601899985798,0.1293530925131873,0.3613655048727552,nan,80.4392466545105,0.002925632408832834,0.05866234008562048,0.1585244267198405,0.16862008726381292,0.28404004672688193,BSMC,optuna_t001_r02,0.8,8.8,6.0,0.15,0.2,0.5,0.8
/home/hoang/Paper1/paper_logs/optuna_tuning/square/20260717_132710_square_BSMC_fusion_optuna_t001_r01.csv,2189,87.51993036270142,0.022165576807437706,-0.008487057178738574,0.04602228202499751,0.035392429041214424,0.32317459712388485,0.05278170637212579,0.1231332263178286,0.049603774795988646,0.11248737330361364,0.2988487233855064,nan,87.51993036270142,0.002482648317791181,0.05508859680071294,0.14344449520328917,0.8764631336603856,0.28631430293429333,BSMC,optuna_t001_r01,0.8,8.8,6.0,0.09,0.2,0.5,0.8
/home/hoang/Paper1/paper_logs/optuna_tuning/square/20260717_131957_square_BSMC_fusion_optuna_t001_r01.csv,2190,87.5602159500122,0.021651497992810808,-0.006243934015825351,0.04524556297439366,0.03436469249302949,0.3284440583761577,0.051855092161142646,0.12499656998515786,0.04844713717487308,0.11717548533965344,0.3054063197394848,nan,87.5602159500122,0.0025210166684452207,0.056930569344115015,0.14337899543378996,0.8685149234478864,0.2866088517699624,BSMC,optuna_t001_r01,0.8,8.8,6.0,0.09,0.2,0.5,0.8
/home/hoang/Paper1/paper_logs/optuna_tuning/square/20260717_130843_square_BSMC_fusion_optuna_t001_r02.csv,2188,87.47980737686157,0.023000670890640056,-0.008167572534393,0.047642896410612486,0.03674488781052445,0.32103872436637004,0.054270520735486744,0.1299360568369529,0.05083436185861693,0.11059392442888491,0.3001784825660243,nan,87.47980737686157,0.0024830905811943815,0.05550798505758501,0.14351005484460694,0.8725226316574058,0.28774322173539196,BSMC,optuna_t001_r02,0.8,8.5,6.0,0.08,0.1,0.5,0.8
/home/hoang/Paper1/paper_logs/optuna_tuning/square/20260717_140146_square_BSMC_fusion_optuna_t003_r01.csv,1964,80.27942180633545,0.027005812480867565,-1.4931486064893196e-05,0.05062957327064617,-0.008320228313001457,0.47045338625317157,0.05670235384581901,0.17911392105459964,0.05431994543843739,0.1575224995085428,0.4352076826302434,72.31945967674255,72.31945967674255,0.003912683676213776,0.06394497502268366,0.5926680244399185,0.14758877519319363,0.28831001893627306,BSMC,optuna_t003_r01,1.3394113749299221,9.207805082202462,7.248435466776273,0.027594662338211104,0.8751756280336456,1.0039578897364934,0.42159344368698326
/home/hoang/Paper1/paper_logs/optuna_tuning/square/20260717_131355_square_BSMC_fusion_optuna_t001_r01.csv,2186,87.39981651306152,0.022576499187679625,-0.008519426044545276,0.04675861125765173,0.035993741631479864,0.3301430800148536,0.05351923004801296,0.1260752471267984,0.049807353416701845,0.1128695446019901,0.3107054668640796,nan,87.39981651306152,0.002520027100006486,0.05546943548743446,0.14364135407136322,0.8656266076789748,0.2886641655902645,BSMC,optuna_t001_r01,0.8,8.8,6.0,0.09,0.2,0.5,0.8
/home/hoang/Paper1/paper_logs/optuna_tuning/square/20260717_130645_square_BSMC_fusion_optuna_t001_r01.csv,2188,87.4804515838623,0.022600615412276405,-0.006217444987492141,0.04774124192928934,0.03792521341613858,0.3206202790829452,0.05447162969107079,0.13860960618269624,0.050670466418999534,0.11813349699892525,0.30622677293375244,nan,87.4804515838623,0.0024931822321247908,0.0556156276854236,0.1430530164533821,0.876664965955993,0.28879451122724986,BSMC,optuna_t001_r01,0.8,8.5,6.0,0.08,0.1,0.5,0.8
/home/hoang/Paper1/paper_logs/optuna_tuning/square/20260717_134246_square_BSMC_fusion_optuna_t001_r01.csv,2132,85.24024558067322,0.024631643165231157,-0.003911225803610094,0.0543940558029949,0.04273292283444225,0.3550017110497586,0.061056243990699234,0.15906681746256976,0.05722457592527779,0.13766627725891484,0.34021504092470656,nan,85.24024558067322,0.002696771392937435,0.05622239807641638,0.1529080675422139,0.6605461415142974,0.2977044243531518,BSMC,optuna_t001_r01,0.8,8.8,6.0,0.09,0.2,0.5,0.8
/home/hoang/Paper1/paper_logs/optuna_tuning/square/20260717_113822_square_BSMC_fusion_optuna_t001_r02.csv,2009,87.4401707649231,0.04049004021445763,0.0015275707678821346,0.07528285084130898,0.0639464488012414,0.30861999082457314,0.08584700099482151,0.1908728831645258,0.08120749537417359,0.16951737645549553,0.28730755650262213,nan,87.4401707649231,0.0037630645648286075,0.055181140154351264,0.08860129417620707,0.5714881587384153,0.31558108886565756,BSMC,optuna_t001_r02,0.8,6.0,6.0,0.08,0.1,1.0,1.5
/home/hoang/Paper1/paper_logs/optuna_tuning/square/20260717_113557_square_BSMC_fusion_optuna_t001_r01.csv,2009,87.47967457771301,0.04020572403174363,0.0022228842448941545,0.07718380818559115,0.06593981132699711,0.3080927497096488,0.08803282610505953,0.1897626041122011,0.08353559804630752,0.1718275912348424,0.29378991003188676,nan,87.47967457771301,0.003768175864160164,0.05534411646472289,0.08063713290194126,0.5934806631444465,0.31929007028846856,BSMC,optuna_t001_r01,0.8,6.0,6.0,0.08,0.1,1.0,1.5
